Model,Test_RMSE,Test_MAE,Test_R2,Train_R2,Gap_R2,Rank
XGBoost (Optuna Tuned),524.490675560586,265.2513122558594,0.9826952815055847,0.9893166422843933,0.006621360778808594,1
XGBoost (Baseline),548.2358924313511,276.5950622558594,0.9810929298400879,0.9903419017791748,0.009248971939086914,2
Gradient Boosting (Original),609.3108924946298,336.6305662182516,0.9766456605900178,0.9773703273701563,0.0007246667801384943,3
Ridge (alpha=10),1224.5369330821425,806.2131522476412,0.9056735520946922,0.9073330214846718,0.0016594693899795177,4
Linear Regression (Baseline),1224.5965418579538,805.274366018982,0.9056643685073514,0.907335736316707,0.0016713678093556172,5
Lasso (alpha=1),1224.6342579964453,806.6592074144179,0.905658557564055,0.9073269379798793,0.0016683804158242888,6
